986 2993
170 497 52
379 914 563
834 725 198
889 690 897
756 718 70
27 869 726
125 986 992
356 352 923
343 273 406
561 880 248
127 671 232
54 688 513
609 131 769
81 933 736
235 610 573
470 350 127
572 648 238
809 232 31
115 650 729
527 309 32
720 694 217
657 711 944
191 845 512
279 481 255
46 479 511
783 861 159
85 568 769
253 281 280
238 578 753
657 26 645
716 74 895
753 323 463
963 755 956
29 165 957
610 899 117
761 562 815
298 103 468
981 216 265
921 985 279
206 788 169
275 586 889
644 685 428
554 473 887
242 403 924
846 554 89
475 199 952
801 66 420
533 301 792
378 372 858
828 60 801
173 368 744
218 561 239
311 313 660
80 644 142
360 675 936
336 362 857
943 589 796
175 462 888
526 780 387
219 182 162
575 869 613
222 67 616
258 453 989
275 176 270
761 332 507
283 821 983
215 160 770
649 961 282
564 561 569
588 980 871
113 941 788
219 290 37
956 711 236
709 842 822
477 437 713
260 735 489
749 393 427
806 207 38
25 137 799
754 349 610
362 422 952
761 640 268
874 614 375
464 374 16
447 795 392
665 97 67
477 433 868
561 316 950
883 817 785
109 131 935
353 515 274
307 578 226
943 374 458
208 103 113
848 592 289
622 18 881
702 345 329
458 574 721
401 835 300
751 190 264
211 358 789
434 970 491
328 85 496
55 606 619
564 665 907
588 875 776
412 695 249
321 165 329
576 89 496
471 9 20
405 845 775
580 238 440
418 434 564
37 82 527
514 724 859
799 420 672
716 821 847
173 943 113
936 920 324
156 73 553
708 531 271
164 822 655
588 556 778
498 608 575
856 148 74
603 855 589
21 890 379
440 241 420
279 153 735
756 117 705
939 85 323
664 837 466
601 50 600
66 725 926
344 851 873
706 813 80
79 756 117
418 433 647
82 467 365
937 737 990
578 88 819
283 539 69
387 597 942
766 500 8
772 675 277
538 37 115
471 788 462
561 287 814
717 488 22
865 440 165
404 933 476
550 51 386
344 168 104
598 141 320
701 96 204
668 44 902
241 670 67
703 685 244
24 329 928
295 281 328
472 351 873
267 470 485
725 63 30
239 601 379
52 243 865
486 89 542
933 604 598
869 785 886
188 15 468
483 491 639
874 899 595
1 105 895
931 393 326
76 773 519
678 130 655
400 437 934
910 687 173
106 981 493
762 638 704
921 684 816
485 489 369
591 972 614
176 309 474
145 959 199
281 73 338
753 986 759
778 568 611
536 874 634
849 118 134
974 286 884
654 231 528
328 554 297
473 785 989
976 759 656
483 321 112
461 687 921
145 299 299
680 387 288
339 512 828
936 842 625
653 258 573
456 934 397
665 668 817
535 218 235
972 854 94
214 147 486
32 364 694
235 323 757
641 652 60
843 35 623
508 315 347
302 917 371
537 533 92
495 926 365
698 81 426
825 524 466
557 981 623
232 226 108
804 14 818
959 632 907
156 169 154
783 16 803
544 629 506
206 93 451
137 793 75
456 720 590
604 698 147
688 611 734
272 54 731
742 382 926
309 331 31
985 506 205
547 161 46
168 734 613
826 842 948
562 355 632
731 946 488
224 248 934
681 917 459
816 133 800
475 591 256
348 793 478
765 502 864
243 874 76
626 876 940
690 700 728
544 110 789
636 971 769
321 212 413
755 669 897
790 477 519
234 364 881
50 911 63
361 871 289
93 16 27
236 509 604
452 711 673
309 555 83
279 646 293
457 467 898
410 952 105
740 911 163
50 428 335
274 31 437
486 539 321
329 726 574
271 596 921
566 699 816
758 642 713
308 780 116
401 630 47
293 406 6
939 166 995
882 883 881
922 180 118
817 114 278
741 100 734
635 34 412
313 920 446
291 724 150
392 361 86
275 741 991
474 191 299
166 268 595
701 18 158
584 883 5
657 424 522
36 326 868
319 745 97
97 39 861
621 180 455
891 206 322
576 654 766
718 449 976
683 742 119
455 948 845
40 655 642
850 175 729
834 731 640
198 919 885
332 934 359
171 180 313
346 813 731
691 301 20
593 849 210
899 648 824
823 235 570
56 716 178
699 549 65
492 159 483
176 196 67
914 983 142
359 763 344
956 555 961
476 473 451
314 478 134
99 327 526
177 925 424
508 648 728
857 947 454
730 257 202
510 264 714
842 477 363
674 89 848
740 333 933
503 817 528
115 587 798
668 649 944
681 418 700
837 401 852
568 914 953
825 879 436
612 240 238
587 846 929
5 590 372
132 574 949
748 236 485
672 766 890
840 545 740
670 285 798
540 145 617
953 878 285
756 884 312
689 353 535
124 478 43
857 147 252
359 896 758
342 43 449
296 319 662
477 65 770
298 454 36
78 543 759
289 68 432
77 464 34
361 314 850
495 129 747
362 837 269
275 84 226
454 957 811
823 934 977
958 96 280
815 830 351
9 374 56
514 254 613
790 59 941
847 426 74
366 152 392
446 258 816
909 706 664
615 885 615
940 141 982
150 93 144
361 297 931
491 377 398
453 585 85
414 175 163
507 565 19
142 34 59
723 311 327
718 243 620
143 917 5
927 715 613
42 649 263
145 741 781
654 208 772
258 679 672
69 394 853
481 404 731
37 518 800
537 253 571
684 148 691
932 513 366
877 697 565
944 9 700
178 872 964
822 344 747
600 279 548
550 542 513
823 199 393
360 607 345
517 272 840
817 91 524
760 956 971
646 149 300
108 490 773
811 317 637
