CoV12D3   SRR12328886
CoV12D5   SRR12328887
CoV12D7	  SRR12328888
CoV15D7   SRR12328889
CoV15D9   SRR12328890
CoV12D8   SRR12328891	
CoV12D11  SRR12328892
C1        SRR12328893
C2        SRR12328894
C3        SRR12328895	
CoV13D0   SRR12328896
C4        SRR12328897	
C5        SRR12328898	
C6        SRR12328899	
C7        SRR12328900
C8        SRR12328901
C9        SRR12328902	
C10       SRR12328903	
C11       SRR12328904
C12       SRR12328905	
C13       SRR12328906	
CoV14D0   SRR12328907	
C14	  SRR12328908	
C15       SRR12328909	
P1	  SRR12328910
P2	  SRR12328911	
P3	  SRR12328916
P4	  SRR12328913	
P5	  SRR12328914
P6	  SRR12328915
CoV1D0    SRR12328916
CoV1D5	  SRR12328917
CoV14D2	  SRR12328918
CoV1D9    SRR12328919
CoV1D15	  SRR12328920
CoV2D0    SRR12328921
CoV2D2	  SRR12328922
CoV3D0	  SRR12328923
CoV3D3	  SRR12328924
CoV3D4	  SRR12328925
CoV3D14	  SRR12328926
CoV4D0	  SRR12328927
CoV4D4    SRR12328928
CoV15D0   SRR12328929
CoV4D22   SRR12328930
CoV5D0    SRR12328931
CoV5D3    SRR12328932
CoV5D5    SRR12328933
CoV5D9    SRR12328934
CoV5D11   SRR12328935
CoV6D0	  SRR12328936
CoV6D1    SRR12328937
CoV7D0    SRR12328938
CoV7D2    SRR12328939
CoV15D4   SRR12328940
CoV7D7    SRR12328941
CoV7D9    SRR12328942
CoV8D0    SRR12328943
CoV8D1    SRR12328944
CoV8D3    SRR12328945
CoV8D4    SRR12328946
CoV8D6    SRR12328947
CoV8D9    SRR12328948
CoV9D0    SRR12328949
CoV10D0   SRR12328950
CoV15D6   SRR12328951
CoV10D2   SRR12328952
CoV10D5   SRR12328953
CoV10D10  SRR12328954
CoV11D0	  SRR12328955
CoV11D5   SRR12328956
CoV12D0   SRR12328957
CoV12D1   SRR12328958







													
	
